pattern	form	form_alt	len_prefix	sent
anaphora	it	she	5	She dropped the plate and it shattered loudly .
anaphora	it	she	5	Mary dropped the plate and it shattered loudly .
anaphora	cried	shattered	6	She dropped the plate and she cried loudly .
anaphora	shattered	cried	6	She dropped the plate and it shattered loudly .
anaphora	so	neither	5	He was angry , and so was I .
anaphora	neither	so	6	He was not angry , and neither was I .
anaphora	so	neither	5	She was angry , and so were you .
anaphora	neither	so	6	She was not angry , and neither were you .
anaphora	it	him	10	If he buys a new bike , I will do it as well .
anaphora	one	two	10	If he buys a new bike , I will buy one as well .
anaphora	one	it	10	If he buys a new bike , I will buy one as well .
anaphora	did	washed	7	He washed the dishes , and she did too .
anaphora	did	washed	7	He washed the dishes , and she did too .
anaphora	will	did	7	She will not laugh , but he will .
anaphora	will	did	7	She will n't laugh , but he will .
anaphora	did	will	7	She did not laugh , but he did .
anaphora	did	will	7	She did n't laugh , but he did .
anaphora	not	too	7	She will laugh , but he will not .
anaphora	too	not	7	She will laugh , and he will too .
anaphora	do	will	8	The people who say they will help never do .
anaphora	do	go	8	The people who say they will help never do .
anaphora	do	did	8	The people who say they will help never do .
anaphora	do	done	8	The people who say they will help never do .
anaphora	has	was	7	She has been cheating , and Fred has too .
anaphora	will	did	8	If they go to the pub , I will go too .
anaphora	not	go	11	If they do n't go to the pub , I will not too .
anaphora	does	was	4	He likes beer , does n't he ?
anaphora	does	will	4	He likes beer , does n't he ?
anaphora	does	did	4	He likes beer , does n't he ?
anaphora	does	is	4	He likes beer , does n't he ?
anaphora	is	does	4	He is sick , is n't he ?
anaphora	is	will	4	He is sick , is n't he ?
anaphora	is	was	4	He is sick , is n't he ?
anaphora	does	is	5	She likes modern art , does n't she ?
anaphora	does	did	5	She likes modern art , does n't she ?
anaphora	does	can	5	She likes modern art , does n't she ?
anaphora	does	must	5	She likes modern art , does n't she ?
anaphora	?	.	8	She likes modern art , does n't she ?
anaphora	does	is	7	She does n't like modern art , does she ?
cataphora	he	it	1	Because he was very cold , David put on his coat .
cataphora	he	it	1	Because he was very cold , he put on his coat .
cataphora	he	it	6	David put on his coat because he was very cold .
cataphora	he	it	6	He put on his coat because he was very cold .
cataphora	Although	Because	0	Although Sam might do so , I will not buy a new bike .
cataphora	not	also	8	Although Sam might do so , I will not buy a new bike .
cataphora	Because	Although	0	Because Sam might do so , I will buy a new bike .
cataphora	also	not	8	Because Sam might do so , I will also buy a new bike .
cataphora	their	his	1	In their free time , the kids play video games .
cataphora	their	her	1	In their free time , the kids play video games .
anaphora	that	he	5	The music stopped , and that upset everyone .
anaphora	They	He	11	Only a few of the children ate their ice cream . They ate the strawberry flavor first .
anaphora	They	He	11	Only a few of the children ate their ice cream . They ate the strawberry flavor first .
anaphora	They	He	11	Only a few of the children ate their ice cream . They ate the strawberry flavor first .
anaphora	His	Her	0	His friends have been criticizing Jim for exaggerating .
anaphora	His	Their	0	His friends have been criticizing Jim for exaggerating .
anaphora	Her	His	0	Her friends have been criticizing Jane for exaggerating .
anaphora	Jane	Jim	5	Her friends have been criticizing Jane for exaggerating .
anaphora	Jim	Jane	5	His friends have been criticizing Jim for exaggerating .
